#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,,,,,,,,,,,,,,,,,,#,#,,,,,,,,,,,,,,,,,,#
#,,#,#,#,#,#,#,#,,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,,#,#,#,#,#,#,#,,#
#,,#,-,-,-,-,-,#,,#,-,-,-,-,-,#,,#,#,,#,-,-,-,-,-,#,,#,-,-,-,-,-,#,,#
#,,#,#,#,#,#,#,#,,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,,#,#,#,#,#,#,#,,#
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
#,,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,,#
#,,,,,,,,,,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,,#,#,,,,,,,#,#,,,,,,,#,#,,#,#,#,#,#,#,#,#,#
-,-,-,-,-,-,-,#,#,,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,,#,#,-,-,-,-,-,-,-
-,-,-,-,-,-,-,#,#,,#,#,,,,,,,,,,,,,,,#,#,,#,#,-,-,-,-,-,-,-
#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,D,D,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,#
,,,,,,,,,,,,,#,#,-,-,-,*,*,-,-,-,#,#,,,,,,,,,,,,,
#,#,#,#,#,#,#,#,#,,#,#,,#,#,-,-,-,*,*,-,-,-,#,#,,#,#,,#,#,#,#,#,#,#,#,#
-,-,-,-,-,-,-,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,-,-,-,-,-,-,-
-,-,-,-,-,-,-,#,#,,#,#,,,,,,,,,,,,,,,#,#,,#,#,-,-,-,-,-,-,-
-,-,-,-,-,-,-,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,-,-,-,-,-,-,-
#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,#
#,,,,,,,,,,,,,,,,,,#,#,,,,,,,,,,,,,,,,,,#
#,,#,#,#,#,#,#,#,,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,,#,#,#,#,#,#,#,,#
#,,,,,,,#,#,,,,,,,,,,,,,,,,,,,,,#,#,,,,,,,#
#,#,#,#,#,#,,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,,#,#,#,#,#,#
#,,,,,,,,,,#,#,,,,,,,#,#,,,,,,,#,#,,,,,,,,,,#
#,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,#
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
